TRANSECT;SAMPLE_DATE;CHL_A;SALINITY;TEMPERATURE
Whitsundays;8/1/04;0.397995;N/A;N/A
Whitsundays;11/5/04;0.3472316;N/A;N/A
Whitsundays;5/8/04;0.352726;N/A;N/A
Whitsundays;2/9/04;0.539533;N/A;N/A
Whitsundays;12/11/04;0.56984033;N/A;N/A
Whitsundays;7/1/05;0.619182;N/A;N/A
Whitsundays;18/4/05;1.191458;N/A;N/A
Whitsundays;23/5/05;0.368975;N/A;N/A
Whitsundays;29/6/05;0.306016;N/A;N/A
Whitsundays;9/8/05;0.346708;N/A;N/A
Whitsundays;13/9/05;0.14673;N/A;N/A
Whitsundays;27/10/05;0.418640;N/A;N/A
Whitsundays;16/12/05;0.922815;N/A;N/A
Whitsundays;24/1/06;0.80718;N/A;N/A
Whitsundays;28/1/07;0.3233;35.66;27.93
Whitsundays;8/5/07;0.39;38;26
Whitsundays;28/5/07;0.25;39;26
Whitsundays;6/7/07;0.2666;37.33;22.5
Whitsundays;22/8/07;0.13833;36.83;22
Whitsundays;26/9/07;0.25;35.16;24.33
Whitsundays;23/11/07;0.411818;31.66;26.66
Whitsundays;21/12/07;0.3983;35.66;28.66
Whitsundays;23/1/08;0.87;35;29
Whitsundays;27/2/08;0.3808;35;28.83
Whitsundays;25/3/08;0.5525;35;27
Whitsundays;29/7/08;0.4975;36.66;23.58
Whitsundays;31/8/08;0.2950;37.33;22
Whitsundays;24/9/08;0.22166 ;36.33;24.33
Whitsundays;28/10/08;0.25083;36;25.66
Whitsundays;19/11/08;0.2375;37;N/A
Whitsundays;15/1/09;0.5558;38;29.16